;Codigo.do.Municipio;Municipios;Territorios.de.Identidade;Ano;genero;total_genero
807;2931509;Teofilândia;Sisal;2000;total_homens;10404
808;2931608;Teolândia;Baixo Sul;2000;total_homens;6447
809;2931707;Terra Nova;Portal do Sertão;2000;total_homens;6291
810;2931806;Tremedal;Sudoeste Baiano;2000;total_homens;10616
811;2931905;Tucano;Sisal;2000;total_homens;25711
812;2932002;Uauá;Sertão do São Francisco;2000;total_homens;13132
813;2932101;Ubaíra;Vale do Jiquiriçá;2000;total_homens;10479
814;2932200;Ubaitaba;Litoral Sul;2000;total_homens;11787
815;2932309;Ubatã;Médio Rio de Contas;2000;total_homens;10974
816;2932408;Uibaí;Irecê;2000;total_homens;6998
817;2932457;Umburanas;Piemonte da Diamantina;2000;total_homens;7395
818;2932507;Una;Litoral Sul;2000;total_homens;16597
819;2932606;Urandi;Sertão Produtivo;2000;total_homens;8149
820;2932705;Uruçuca;Litoral Sul;2000;total_homens;10351
821;2932804;Utinga;Chapada Diamantina;2000;total_homens;8446
822;2932903;Valença;Baixo Sul;2000;total_homens;38473
823;2933000;Valente;Sisal;2000;total_homens;9498
824;2933059;Várzea da Roça;Bacia do Jacuípe;2000;total_homens;6931
825;2933109;Várzea do Poço;Bacia do Jacuípe;2000;total_homens;3770
826;2933158;Várzea Nova;Piemonte da Diamantina;2000;total_homens;7220
827;2933174;Varzedo;Recôncavo;2000;total_homens;4363
828;2933208;Vera Cruz;Metropolitano de Salvador;2000;total_homens;15055
829;2933257;Vereda;Extremo Sul;2000;total_homens;3952
830;2933307;Vitória da Conquista;Sudoeste Baiano;2000;total_homens;127636
831;2933406;Wagner;Chapada Diamantina;2000;total_homens;4535
832;2933455;Wanderley;Bacia do Rio Grande;2000;total_homens;6963
833;2933505;Wenceslau Guimarães;Baixo Sul;2000;total_homens;12380
834;2933604;Xique-Xique;Irecê;2000;total_homens;22253
835;2900108;Abaíra;Chapada Diamantina;2010;total_homens;4082
836;2900207;Abaré;Itaparica;2010;total_homens;8564
837;2900306;Acajutiba;Litoral Norte e Agreste Baiano;2010;total_homens;7208
838;2900355;Adustina;Semiárido Nordeste II;2010;total_homens;7907
839;2900405;Água Fria;Portal do Sertão;2010;total_homens;7903
840;2900603;Aiquara;Médio Rio de Contas;2010;total_homens;2351
841;2900702;Alagoinhas;Litoral Norte e Agreste Baiano;2010;total_homens;67212
842;2900801;Alcobaça;Extremo Sul;2010;total_homens;10815
843;2900900;Almadina;Litoral Sul;2010;total_homens;3200
844;2901007;Amargosa;Vale do Jiquiriçá;2010;total_homens;16647
845;2901106;Amélia Rodrigues;Portal do Sertão;2010;total_homens;12283
846;2901155;América Dourada;Irecê;2010;total_homens;8073
847;2901205;Anagé;Sudoeste Baiano;2010;total_homens;12892
848;2901304;Andaraí;Chapada Diamantina;2010;total_homens;7181
849;2901353;Andorinha;Piemonte Norte do Itapicuru;2010;total_homens;7328
850;2901403;Angical;Bacia do Rio Grande;2010;total_homens;7460
851;2901502;Anguera;Portal do Sertão;2010;total_homens;5083
852;2901601;Antas;Semiárido Nordeste II;2010;total_homens;8581
853;2901700;Antônio Cardoso;Portal do Sertão;2010;total_homens;5734
854;2901809;Antônio Gonçalves;Piemonte Norte do Itapicuru;2010;total_homens;5573
855;2901908;Aporá;Litoral Norte e Agreste Baiano;2010;total_homens;8961
856;2901957;Apuarema;Médio Rio de Contas;2010;total_homens;3794
857;2902054;Araçás;Litoral Norte e Agreste Baiano;2010;total_homens;5828
858;2902005;Aracatu;Sudoeste Baiano;2010;total_homens;7052
859;2902104;Araci;Sisal;2010;total_homens;25940
860;2902203;Aramari;Litoral Norte e Agreste Baiano;2010;total_homens;4999
861;2902252;Arataca;Litoral Sul;2010;total_homens;5502
862;2902302;Aratuípe;Baixo Sul;2010;total_homens;4376
863;2902401;Aurelino Leal;Litoral Sul;2010;total_homens;6833
864;2902500;Baianópolis;Bacia do Rio Grande;2010;total_homens;7162
865;2902609;Baixa Grande;Bacia do Jacuípe;2010;total_homens;9966
866;2902658;Banzaê;Semiárido Nordeste II;2010;total_homens;5993
867;2902708;Barra;Velho Chico;2010;total_homens;25160
868;2902807;Barra da Estiva;Chapada Diamantina;2010;total_homens;10648
869;2902906;Barra do Choça;Sudoeste Baiano;2010;total_homens;17553
870;2903003;Barra do Mendes;Irecê;2010;total_homens;7012
871;2903102;Barra do Rocha;Médio Rio de Contas;2010;total_homens;3337
872;2903201;Barreiras;Bacia do Rio Grande;2010;total_homens;67913
873;2903235;Barro Alto;Irecê;2010;total_homens;6909
874;2903300;Barro Preto/Lomanto Junior;Litoral Sul;2010;total_homens;3306
875;2903276;Barrocas;Sisal;2010;total_homens;7218
876;2903409;Belmonte;Costa do Descobrimento;2010;total_homens;11159
877;2903508;Belo Campo;Sudoeste Baiano;2010;total_homens;8120
878;2903607;Biritinga;Sisal;2010;total_homens;7553
879;2903706;Boa Nova;Médio Rio de Contas;2010;total_homens;7824
880;2903805;Boa Vista do Tupim;Piemonte do Paraguaçu;2010;total_homens;9134
881;2903904;Bom Jesus da Lapa;Velho Chico;2010;total_homens;31676
882;2903953;Bom Jesus da Serra;Sudoeste Baiano;2010;total_homens;5191
883;2904001;Boninal;Chapada Diamantina;2010;total_homens;6702
884;2904050;Bonito;Chapada Diamantina;2010;total_homens;7521
885;2904100;Boquira;Bacia do Paramirim;2010;total_homens;10856
886;2904209;Botuporã;Bacia do Paramirim;2010;total_homens;5608
887;2904308;Brejões;Vale do Jiquiriçá;2010;total_homens;7114
888;2904407;Brejolândia;Bacia do Rio Corrente;2010;total_homens;5798
889;2904506;Brotas de Macaúbas;Velho Chico;2010;total_homens;5472
890;2904605;Brumado;Sertão Produtivo;2010;total_homens;31747
891;2904704;Buerarema;Litoral Sul;2010;total_homens;9307
892;2904753;Buritirama;Bacia do Rio Grande;2010;total_homens;10202
893;2904803;Caatiba;Médio Sudoeste da Bahia;2010;total_homens;5992
894;2904852;Cabaceiras do Paraguaçu;Recôncavo;2010;total_homens;8549
895;2904902;Cachoeira;Recôncavo;2010;total_homens;15453
896;2905008;Caculé;Sertão Produtivo;2010;total_homens;11137
897;2905107;Caém;Piemonte da Diamantina;2010;total_homens;5140
898;2905156;Caetanos;Sudoeste Baiano;2010;total_homens;7054
899;2905206;Caetité;Sertão Produtivo;2010;total_homens;23419
900;2905305;Cafarnaum;Irecê;2010;total_homens;8764
901;2905404;Cairu;Baixo Sul;2010;total_homens;7841
902;2905503;Caldeirão Grande;Piemonte Norte do Itapicuru;2010;total_homens;6152
903;2905602;Camacan;Litoral Sul;2010;total_homens;15734
904;2905701;Camaçari;Metropolitano de Salvador;2010;total_homens;120704
905;2905800;Camamu;Baixo Sul;2010;total_homens;17899
906;2905909;Campo Alegre de Lourdes;Sertão do São Francisco;2010;total_homens;14142
