;codigo_municipio;Municipios;Territorios.de.Identidade;sexo;Ano;faixa_etarias;total_faixa
153;2912608;Ibiquera;Piemonte do Paraguaçu;Masculino;2000;Entre.0.a.4;-224
154;2912707;Ibirapitanga;Baixo Sul;Masculino;2000;Entre.0.a.4;-1433
155;2912806;Ibirapuã;Extremo Sul;Masculino;2000;Entre.0.a.4;-336
156;2912905;Ibirataia;Médio Rio de Contas;Masculino;2000;Entre.0.a.4;-1184
157;2913002;Ibitiara;Chapada Diamantina;Masculino;2000;Entre.0.a.4;-675
158;2913101;Ibititá;Irecê;Masculino;2000;Entre.0.a.4;-919
159;2913200;Ibotirama;Velho Chico;Masculino;2000;Entre.0.a.4;-1387
160;2913309;Ichu;Sisal;Masculino;2000;Entre.0.a.4;-299
161;2913408;Igaporã;Velho Chico;Masculino;2000;Entre.0.a.4;-668
162;2913457;Igrapiúna;Baixo Sul;Masculino;2000;Entre.0.a.4;-1062
163;2913507;Iguaí;Médio Sudoeste da Bahia;Masculino;2000;Entre.0.a.4;-1236
164;2913606;Ilhéus;Litoral Sul;Masculino;2000;Entre.0.a.4;-10929
165;2913705;Inhambupe;Litoral Norte e Agreste Baiano;Masculino;2000;Entre.0.a.4;-1819
166;2913804;Ipecaetá;Portal do Sertão;Masculino;2000;Entre.0.a.4;-964
167;2913903;Ipiaú;Médio Rio de Contas;Masculino;2000;Entre.0.a.4;-2041
168;2914000;Ipirá;Bacia do Jacuípe;Masculino;2000;Entre.0.a.4;-3298
169;2914109;Ipupiara;Irecê;Masculino;2000;Entre.0.a.4;-357
170;2914208;Irajuba;Vale do Jiquiriçá;Masculino;2000;Entre.0.a.4;-371
171;2914307;Iramaia;Chapada Diamantina;Masculino;2000;Entre.0.a.4;-883
172;2914406;Iraquara;Chapada Diamantina;Masculino;2000;Entre.0.a.4;-1115
173;2914505;Irará;Portal do Sertão;Masculino;2000;Entre.0.a.4;-1286
174;2914604;Irecê;Irecê;Masculino;2000;Entre.0.a.4;-3106
175;2914653;Itabela;Costa do Descobrimento;Masculino;2000;Entre.0.a.4;-1646
176;2914703;Itaberaba;Piemonte do Paraguaçu;Masculino;2000;Entre.0.a.4;-3086
177;2914802;Itabuna;Litoral Sul;Masculino;2000;Entre.0.a.4;-8860
178;2914901;Itacaré;Litoral Sul;Masculino;2000;Entre.0.a.4;-1193
179;2915007;Itaeté;Chapada Diamantina;Masculino;2000;Entre.0.a.4;-884
180;2915106;Itagi;Médio Rio de Contas;Masculino;2000;Entre.0.a.4;-777
181;2915205;Itagibá;Médio Rio de Contas;Masculino;2000;Entre.0.a.4;-829
182;2915304;Itagimirim;Costa do Descobrimento;Masculino;2000;Entre.0.a.4;-385
183;2915353;Itaguaçu da Bahia;Irecê;Masculino;2000;Entre.0.a.4;-730
184;2915403;Itaju do Colônia;Litoral Sul;Masculino;2000;Entre.0.a.4;-486
185;2915502;Itajuípe;Litoral Sul;Masculino;2000;Entre.0.a.4;-1141
186;2915601;Itamaraju;Extremo Sul;Masculino;2000;Entre.0.a.4;-3508
187;2915700;Itamari;Médio Rio de Contas;Masculino;2000;Entre.0.a.4;-442
188;2915809;Itambé;Médio Sudoeste da Bahia;Masculino;2000;Entre.0.a.4;-1413
189;2915908;Itanagra;Litoral Norte e Agreste Baiano;Masculino;2000;Entre.0.a.4;-433
190;2916005;Itanhém;Extremo Sul;Masculino;2000;Entre.0.a.4;-1002
191;2916104;Itaparica;Metropolitano de Salvador;Masculino;2000;Entre.0.a.4;-991
192;2916203;Itapé;Litoral Sul;Masculino;2000;Entre.0.a.4;-615
193;2916302;Itapebi;Costa do Descobrimento;Masculino;2000;Entre.0.a.4;-706
194;2916401;Itapetinga;Médio Sudoeste da Bahia;Masculino;2000;Entre.0.a.4;-2822
195;2916500;Itapicuru;Litoral Norte e Agreste Baiano;Masculino;2000;Entre.0.a.4;-1527
196;2916609;Itapitanga;Litoral Sul;Masculino;2000;Entre.0.a.4;-541
197;2916708;Itaquara;Vale do Jiquiriçá;Masculino;2000;Entre.0.a.4;-389
198;2916807;Itarantim;Médio Sudoeste da Bahia;Masculino;2000;Entre.0.a.4;-804
199;2916856;Itatim;Piemonte do Paraguaçu;Masculino;2000;Entre.0.a.4;-679
200;2916906;Itiruçu;Vale do Jiquiriçá;Masculino;2000;Entre.0.a.4;-700
201;2917003;Itiúba;Sisal;Masculino;2000;Entre.0.a.4;-2116
202;2917102;Itororó;Médio Sudoeste da Bahia;Masculino;2000;Entre.0.a.4;-910
