codigo_municipio;Territorios.de.Identidade;Ano;faixa_etarias;total_faixa;sexo_num
2919702;Médio Sudoeste da Bahia;2000;Entre.0.a.4;-739;1
2919801;Bacia do Paramirim;2000;Entre.0.a.4;-2220;1
2919900;Itaparica;2000;Entre.0.a.4;-488;1
2919926;Metropolitano de Salvador;2000;Entre.0.a.4;-585;1
2919959;Vitória da Conquista;2000;Entre.0.a.4;-616;1
2920007;Médio Sudoeste da Bahia;2000;Entre.0.a.4;-381;1
2920106;Bacia do Jacuípe;2000;Entre.0.a.4;-989;1
2920205;Velho Chico;2000;Entre.0.a.4;-959;1
2920304;Sertão Produtivo;2000;Entre.0.a.4;-466;1
2920403;Médio Rio de Contas;2000;Entre.0.a.4;-815;1
2920452;Bacia do Rio Grande;2000;Entre.0.a.4;-648;1
2920502;Vale do Jiquiriçá;2000;Entre.0.a.4;-1329;1
2920601;Recôncavo;2000;Entre.0.a.4;-1945;1
2920700;Litoral Sul;2000;Entre.0.a.4;-1433;1
2920809;Chapada Diamantina;2000;Entre.0.a.4;-644;1
2920908;Litoral Sul;2000;Entre.0.a.4;-882;1
2921005;Litoral Norte e Agreste Baiano;2000;Entre.0.a.4;-1579;1
2921054;Velho Chico;2000;Entre.0.a.4;-610;1
2921104;Extremo Sul;2000;Entre.0.a.4;-982;1
2921203;Piemonte da Diamantina;2000;Entre.0.a.4;-1393;1
2921302;Vale do Jiquiriçá;2000;Entre.0.a.4;-625;1
2921401;Piemonte da Diamantina;2000;Entre.0.a.4;-800;1
2921450;Vitória da Conquista;2000;Entre.0.a.4;-454;1
2921500;Sisal;2000;Entre.0.a.4;-3257;1
2921609;Velho Chico;2000;Entre.0.a.4;-391;1
2921708;Chapada Diamantina;2000;Entre.0.a.4;-2125;1
2921807;Vitória da Conquista;2000;Entre.0.a.4;-511;1
2921906;Chapada Diamantina;2000;Entre.0.a.4;-730;1
2922003;Extremo Sul;2000;Entre.0.a.4;-1705;1
2922052;Irecê;2000;Entre.0.a.4;-952;1
2922102;Piemonte do Paraguaçu;2000;Entre.0.a.4;-1194;1
2922201;Recôncavo;2000;Entre.0.a.4;-328;1
2922250;Velho Chico;2000;Entre.0.a.4;-670;1
2922300;Recôncavo;2000;Entre.0.a.4;-1358;1
2922409;Vale do Jiquiriçá;2000;Entre.0.a.4;-954;1
2922508;Recôncavo;2000;Entre.0.a.4;-1246;1
2922607;Baixo Sul;2000;Entre.0.a.4;-650;1
2922656;Sisal;2000;Entre.0.a.4;-736;1
2922706;Médio Sudoeste da Bahia;2000;Entre.0.a.4;-764;1
2922730;Bacia do Jacuípe;2000;Entre.0.a.4;-319;1
2922755;Médio Rio de Contas;2000;Entre.0.a.4;-347;1
2922805;Vale do Jiquiriçá;2000;Entre.0.a.4;-415;1
2922854;Chapada Diamantina;2000;Entre.0.a.4;-554;1
2922904;Semiárido Nordeste II;2000;Entre.0.a.4;-1449;1
2923001;Extremo Sul;2000;Entre.0.a.4;-1990;1
2923035;Chapada Diamantina;2000;Entre.0.a.4;-399;1
2923050;Semiárido Nordeste II;2000;Entre.0.a.4;-679;1
