;Codigo.do.Municipio;Municipios;Territorios.de.Identidade;Ano;local_natural;total_natural
503;2907202;Casa Nova;Sertão do São Francisco;2000;natural.do.mun;46445
504;2907301;Castro Alves;Recôncavo;2000;natural.do.mun;22461
505;2907400;Catolândia;Bacia do Rio Grande;2000;natural.do.mun;2528
506;2907509;Catu;Litoral Norte e Agreste Baiano;2000;natural.do.mun;38110
507;2907558;Caturama;Bacia do Paramirim;2000;natural.do.mun;8463
508;2907608;Central;Irecê;2000;natural.do.mun;13606
509;2907707;Chorrochó;Itaparica;2000;natural.do.mun;9329
510;2907806;Cícero Dantas;Semiárido Nordeste II;2000;natural.do.mun;26036
511;2907905;Cipó;Semiárido Nordeste II;2000;natural.do.mun;10732
512;2908002;Coaraci;Litoral Sul;2000;natural.do.mun;20882
513;2908101;Côcos;Bacia do Rio Corrente;2000;natural.do.mun;15819
514;2908200;Conceição da Feira;Portal do Sertão;2000;natural.do.mun;14254
515;2908309;Conceição do Almeida;Recôncavo;2000;natural.do.mun;15411
516;2908408;Conceição do Coité;Sisal;2000;natural.do.mun;49279
517;2908507;Conceição do Jacuípe;Portal do Sertão;2000;natural.do.mun;18952
518;2908606;Conde;Litoral Norte e Agreste Baiano;2000;natural.do.mun;17893
519;2908705;Condeúba;Sudoeste Baiano;2000;natural.do.mun;16186
520;2908804;Contendas do Sincorá;Sertão Produtivo;2000;natural.do.mun;3325
521;2908903;Coração de Maria;Portal do Sertão;2000;natural.do.mun;21385
522;2909000;Cordeiros;Sudoeste Baiano;2000;natural.do.mun;6924
523;2909109;Coribe;Bacia do Rio Corrente;2000;natural.do.mun;12814
524;2909208;Coronel João Sá;Semiárido Nordeste II;2000;natural.do.mun;18071
525;2909307;Correntina;Bacia do Rio Corrente;2000;natural.do.mun;25269
526;2909406;Cotegipe;Bacia do Rio Grande;2000;natural.do.mun;10935
527;2909505;Cravolândia;Vale do Jiquiriçá;2000;natural.do.mun;3966
528;2909604;Crisópolis;Litoral Norte e Agreste Baiano;2000;natural.do.mun;16147
529;2909703;Cristópolis;Bacia do Rio Grande;2000;natural.do.mun;10990
530;2909802;Cruz das Almas;Recôncavo;2000;natural.do.mun;40486
531;2909901;Curaçá;Sertão do São Francisco;2000;natural.do.mun;24478
532;2910008;Dário Meira;Médio Rio de Contas;2000;natural.do.mun;13061
533;2910057;Dias d'Ávila;Metropolitano de Salvador;2000;natural.do.mun;16961
534;2910107;Dom Basílio;Sertão Produtivo;2000;natural.do.mun;9654
535;2910206;Dom Macedo Costa;Recôncavo;2000;natural.do.mun;3040
536;2910305;Elísio Medrado;Vale do Jiquiriçá;2000;natural.do.mun;6442
537;2910404;Encruzilhada;Sudoeste Baiano;2000;natural.do.mun;26626
538;2910503;Entre Rios;Litoral Norte e Agreste Baiano;2000;natural.do.mun;26918
539;2900504;Érico Cardoso;Bacia do Paramirim;2000;natural.do.mun;12007
540;2910602;Esplanada;Litoral Norte e Agreste Baiano;2000;natural.do.mun;20604
541;2910701;Euclides da Cunha;Semiárido Nordeste II;2000;natural.do.mun;43480
542;2910727;Eunápolis;Costa do Descobrimento;2000;natural.do.mun;44380
543;2910750;Fátima;Semiárido Nordeste II;2000;natural.do.mun;15392
544;2910776;Feira da Mata;Velho Chico;2000;natural.do.mun;5318
545;2910800;Feira de Santana;Portal do Sertão;2000;natural.do.mun;316514
546;2910859;Filadélfia;Piemonte Norte do Itapicuru;2000;natural.do.mun;13886
547;2910909;Firmino Alves;Médio Sudoeste da Bahia;2000;natural.do.mun;2971
548;2911006;Floresta Azul;Litoral Sul;2000;natural.do.mun;8724
549;2911105;Formosa do Rio Preto;Bacia do Rio Grande;2000;natural.do.mun;15083
550;2911204;Gandu;Baixo Sul;2000;natural.do.mun;18953
551;2911253;Gavião;Bacia do Jacuípe;2000;natural.do.mun;3969
552;2911303;Gentio do Ouro;Irecê;2000;natural.do.mun;9163
553;2911402;Glória;Itaparica;2000;natural.do.mun;13180
554;2911501;Gongogi;Médio Rio de Contas;2000;natural.do.mun;7239
555;2911600;Governador Mangabeira;Recôncavo;2000;natural.do.mun;13366
556;2911659;Guajeru;Sudoeste Baiano;2000;natural.do.mun;12123
557;2911709;Guanambi;Sertão Produtivo;2000;natural.do.mun;52397
558;2911808;Guaratinga;Costa do Descobrimento;2000;natural.do.mun;20046
559;2911857;Heliópolis;Semiárido Nordeste II;2000;natural.do.mun;11407
560;2911907;Iaçu;Piemonte do Paraguaçu;2000;natural.do.mun;21182
561;2912004;Ibiassucê;Sertão Produtivo;2000;natural.do.mun;12103
562;2912103;Ibicaraí;Litoral Sul;2000;natural.do.mun;21422
563;2912202;Ibicoara;Chapada Diamantina;2000;natural.do.mun;11255
564;2912301;Ibicuí;Médio Sudoeste da Bahia;2000;natural.do.mun;10608
565;2912400;Ibipeba;Irecê;2000;natural.do.mun;11736
