CD_GEOCMU;NM_MUNICIP;NM_TI;Ano2001;Ano2002;Ano2003;Ano2004;Ano2005;Ano2006;Ano2007;Ano2008;Ano2009;Ano2011;Ano2012;Ano2013;Ano2014;Ano2015;Ano2016;Ano2017;Ano2018;Ano2019;Ano2020
2922300;Muritiba;Recôncavo;31404;31930;32526;33779;32286;32915;27212;27866;27755;28922;28944;30635;30691;30743;30585;30631;29387;29399;29410
2922409;Mutuípe;Vale do Jiquiriçá;20458;20456;20453;20447;20444;20441;21181;21935;22066;21530;21608;22928;22742;22833;22917;22998;22156;22221;22282
2922508;Nazaré;Recôncavo;26428;26451;26492;26576;26622;26668;26506;27350;27427;27366;27454;29122;29297;29406;29450;29546;28451;28525;28594
2922607;Nilo Peçanha;Baixo Sul;11070;10986;10881;10660;10538;10420;12531;13092;13274;12632;12729;13555;14119;14188;14279;14368;13914;13997;14079
2922656;Nordestina;Sisal;12102;12323;12566;13075;13357;13630;12172;12599;12670;12415;12458;13216;13270;13321;13552;13597;13095;13130;13164
2922706;Nova Canaã;Médio Sudoeste da Bahia;15558;15692;15844;16162;16338;16508;18829;19866;20311;16731;16070;17013;17048;17082;17113;17141;16451;16462;16472
2922730;Nova Fátima;Bacia do Jacuípe;7155;6924;6640;6044;5713;5394;7674;7930;7964;7616;7630;8083;8105;8125;8101;8119;7802;7812;7821
2922755;Nova Ibiá;Médio Rio de Contas;6732;6464;6138;5454;5076;4709;6871;7047;7029;6609;6570;6913;7063;7036;7010;6986;6631;6591;6554
2922805;Nova Itarana;Vale do Jiquiriçá;6682;6583;6578;6569;6564;6560;7423;7762;7875;7500;7563;8058;8192;8312;8372;8428;8172;8226;8279
2922854;Nova Redenção;Chapada Diamantina;8377;8282;8118;7773;7582;7397;8943;9262;9318;8044;8053;8527;9453;9470;9485;9500;9115;9118;9123
2922904;Nova Soure;Semiárido Nordeste II;24329;24348;24322;24267;24236;24207;25697;26666;26874;24202;24265;25725;25813;25854;25931;25460;24493;26947;26998
2923001;Nova Viçosa;Extremo Sul;32857;33445;34080;35414;36152;36868;34623;36032;36407;39054;39535;42265;42754;43216;43648;44052;42950;43376;43783
2923035;Novo Horizonte;Chapada Diamantina;8262;8148;7984;7639;7448;7263;10304;10860;11092;10840;11001;11786;12085;12238;12381;12514;12241;12385;12522
2923050;Novo Triunfo;Semiárido Nordeste II;13941;14129;14375;14891;15177;15454;14153;14666;14763;15059;15067;15943;15969;15993;16016;16037;15380;15440;15443
2923100;Olindina;Litoral Norte e Agreste Baiano;24176;24424;24663;25164;25442;25711;23791;24516;24557;25023;25100;26620;26722;26817;26907;29227;28152;28229;28304
2923209;Oliveira dos Brejinhos;Velho Chico;21748;21789;21844;21960;22024;22086;22609;23436;23596;21822;21813;22738;22756;22774;22789;22805;21838;21825;21810
2923308;Ouriçangas;Litoral Norte e Agreste Baiano;7579;7626;7673;7772;7827;7880;7802;8081;8131;8307;8316;8804;8822;8839;8895;8916;8557;8564;8570
2923357;Ourolândia;Piemonte da Diamantina;15737;16013;16317;16957;17311;17655;16302;16933;17080;16503;16578;17603;17691;17775;17954;18025;17389;17451;17511
2923407;Palmas de Monte Alto;Sertão Produtivo;20048;20019;19983;19905;19862;19821;21107;21896;22061;20836;20894;22260;22340;22416;22487;22553;21703;21750;21796
2923506;Palmeiras;Chapada Diamantina;6997;7597;7634;7711;7754;7795;8040;8358;8437;8479;8545;9122;9066;9130;9191;9250;8961;9019;9071
2923605;Paramirim;Bacia do Paramirim;18876;18843;18807;18732;18690;19243;20055;20756;20870;21115;21226;21838;21961;22077;22184;22286;21518;21607;21695
2923704;Paratinga;Velho Chico;28107;28415;28757;29474;29871;30255;28671;29693;29874;29682;29853;32258;32452;32636;32807;32967;31853;32000;32141
2923803;Paripiranga;Semiárido Nordeste II;26658;26710;26765;26880;26944;27006;28347;29459;29727;27870;27958;29654;29769;29878;29980;30075;28956;28989;29058
2923902;Pau Brasil;Litoral Sul;12664;12389;12083;11442;11086;10742;12155;12418;12342;10684;10479;11166;11031;10905;10784;10673;9981;9831;9686
2924009;Paulo Afonso;Itaparica;97632;98578;99543;101568;102689;103776;101952;105837;106703;109310;110193;117377;118323;119214;119930;120706;117014;117782;118516
2924058;Pé de Serra;Bacia do Jacuípe;13087;12791;12448;11727;11328;10941;14160;14683;14788;13729;13707;14478;14474;14471;14229;14226;13601;13578;13556
2924108;Pedrão;Litoral Norte e Agreste Baiano;6757;6754;6749;6739;6733;6728;7238;7525;7597;6936;6993;7450;7511;7568;7486;7527;7298;7347;7394
2924207;Pedro Alexandre;Semiárido Nordeste II;17268;17406;17616;18057;18301;18538;17092;17643;17698;17020;17045;18051;18094;18135;18173;18209;17486;16667;16682
2924306;Piatã;Chapada Diamantina;19063;19118;19183;19320;19396;19470;18085;18532;18470;17417;17257;18421;18584;18473;18366;18267;17269;17123;16984
