;Codigo.do.Municipio;Municipios;Territorios.de.Identidade;Ano;situacao_conjugal;total_civil
271;2922409;Mutuípe;Vale do Jiquiriçá;2000;casado;4728
272;2922508;Nazaré;Recôncavo;2000;casado;4608
273;2922607;Nilo Peçanha;Baixo Sul;2000;casado;1262
274;2922656;Nordestina;Sisal;2000;casado;2162
275;2922706;Nova Canaã;Médio Sudoeste da Bahia;2000;casado;3314
276;2922730;Nova Fátima;Bacia do Jacuípe;2000;casado;2194
277;2922755;Nova Ibiá;Médio Rio de Contas;2000;casado;1013
278;2922805;Nova Itarana;Vale do Jiquiriçá;2000;casado;645
279;2922854;Nova Redenção;Chapada Diamantina;2000;casado;1890
280;2922904;Nova Soure;Semiárido Nordeste II;2000;casado;4587
281;2923001;Nova Viçosa;Extremo Sul;2000;casado;8274
282;2923035;Novo Horizonte;Chapada Diamantina;2000;casado;2972
283;2923050;Novo Triunfo;Semiárido Nordeste II;2000;casado;3484
284;2923100;Olindina;Litoral Norte e Agreste Baiano;2000;casado;4943
285;2923209;Oliveira dos Brejinhos;Velho Chico;2000;casado;5428
286;2923308;Ouriçangas;Litoral Norte e Agreste Baiano;2000;casado;994
287;2923357;Ourolândia;Piemonte da Diamantina;2000;casado;2571
288;2923407;Palmas de Monte Alto;Sertão Produtivo;2000;casado;5975
289;2923506;Palmeiras;Chapada Diamantina;2000;casado;1668
290;2923605;Paramirim;Bacia do Paramirim;2000;casado;4465
291;2923704;Paratinga;Velho Chico;2000;casado;8197
292;2923803;Paripiranga;Semiárido Nordeste II;2000;casado;5331
293;2923902;Pau Brasil;Litoral Sul;2000;casado;1357
294;2924009;Paulo Afonso;Itaparica;2000;casado;28237
295;2924058;Pé de Serra;Bacia do Jacuípe;2000;casado;3933
296;2924108;Pedrão;Litoral Norte e Agreste Baiano;2000;casado;1253
297;2924207;Pedro Alexandre;Semiárido Nordeste II;2000;casado;4213
298;2924306;Piatã;Chapada Diamantina;2000;casado;6044
299;2924405;Pilão Arcado;Sertão do São Francisco;2000;casado;10175
300;2924504;Pindaí;Sertão Produtivo;2000;casado;5138
301;2924603;Pindobaçu;Piemonte Norte do Itapicuru;2000;casado;6047
302;2924652;Pintadas;Bacia do Jacuípe;2000;casado;2402
303;2924678;Piraí do Norte;Baixo Sul;2000;casado;781
304;2924702;Piripá;Sudoeste Baiano;2000;casado;4036
305;2924801;Piritiba;Piemonte do Paraguaçu;2000;casado;5043
306;2924900;Planaltino;Vale do Jiquiriçá;2000;casado;1091
307;2925006;Planalto;Sudoeste Baiano;2000;casado;6120
308;2925105;Poções;Sudoeste Baiano;2000;casado;8861
309;2925204;Pojuca;Metropolitano de Salvador;2000;casado;5141
310;2925253;Ponto Novo;Piemonte Norte do Itapicuru;2000;casado;4486
311;2925303;Porto Seguro;Costa do Descobrimento;2000;casado;13252
312;2925402;Potiraguá;Médio Sudoeste da Bahia;2000;casado;1681
313;2925501;Prado;Extremo Sul;2000;casado;4248
314;2925600;Presidente Dutra;Irecê;2000;casado;3294
