Codigo do Municipio;Municipios;Territorios Identidade;Total;Nascidos vivos;Nascidos mortos;percentual_nascidosvivos
2904407;Brejolândia;Bacia do Rio Corrente;12160;11560;601;0,049424342
2904506;Brotas de Macaúbas;Velho Chico;12320;11688;632;0,051298701
2904605;Brumado;Sertão Produtivo;63179;60334;2844;0,045014958
2904704;Buerarema;Litoral Sul;18425;17682;743;0,040325645
2904753;Buritirama;Bacia do Rio Grande;21428;20340;1088;0,050774687
2904803;Caatiba;Médio Sudoeste da Bahia;10812;10241;571;0,052811691
2904852;Cabaceiras do Paraguaçu;Recôncavo;19148;18311;836;0,043659912
2904902;Cachoeira;Recôncavo;31584;29894;1690;0,053508105
2905008;Caculé;Sertão Produtivo;23138;22200;938;0,040539372
2905107;Caém;Piemonte da Diamantina;11970;11252;719;0,060066834
2905156;Caetanos;Sudoeste Baiano;15037;14043;993;0,066037108
2905206;Caetité;Sertão Produtivo;46895;44796;2098;0,044738245
2905305;Cafarnaum;Irecê;20472;19687;785;0,038345057
2905404;Cairu;Baixo Sul;13472;12613;859;0,063761876
2905503;Caldeirão Grande;Piemonte Norte do Itapicuru;15845;15158;687;0,043357526
2905602;Camacan;Litoral Sul;34646;31925;2721;0,078537205
2905701;Camaçari;Metropolitano de Salvador;188102;179049;9053;0,048128143
2905800;Camamu;Baixo Sul;38108;35594;2514;0,0659704
2905909;Campo Alegre de Lourdes;Sertão do São Francisco;34405;33158;1247;0,036244732
2906006;Campo Formoso;Piemonte Norte do Itapicuru;73259;69659;3600;0,04914072
2906105;Canápolis;Bacia do Rio Corrente;10301;9816;485;0,047082807
2906204;Canarana;Irecê;26113;24486;1627;0,062306131
2906303;Canavieiras;Litoral Sul;34188;31968;2219;0,064905815
2906402;Candeal;Sisal;11268;10733;535;0,047479588
2906501;Candeias;Metropolitano de Salvador;75075;70602;4473;0,05958042
2906600;Candiba;Sertão Produtivo;14591;13895;696;0,047700637
2906709;Cândido Sales;Sudoeste Baiano;30226;28352;1873;0,061966519
2906808;Cansanção;Sisal;38991;36638;2353;0,06034726
2906824;Canudos;Sertão do São Francisco;17425;16656;769;0,044131994
2906857;Capela do Alto Alegre;Bacia do Jacuípe;13901;13255;646;0,046471477
2906873;Capim Grosso;Bacia do Jacuípe;31431;30092;1339;0,042601254
2906899;Caraíbas;Sudoeste Baiano;12966;12399;567;0,043729755
2906907;Caravelas;Extremo Sul;22504;20946;1559;0,069276573
2907004;Cardeal da Silva;Litoral Norte e Agreste Baiano;9253;8818;434;0,046903707
2907103;Carinhanha;Velho Chico;32008;29659;2349;0,073387903
2907202;Casa Nova;Sertão do São Francisco;66961;63517;3444;0,051432924
2907301;Castro Alves;Recôncavo;27169;25928;1240;0,045640252
2907400;Catolândia;Bacia do Rio Grande;2820;2689;131;0,046453901
2907509;Catu;Litoral Norte e Agreste Baiano;47709;45281;2427;0,050870905
2907558;Caturama;Bacia do Paramirim;7931;7655;276;0,034800151
2907608;Central;Irecê;20546;19771;775;0,037720238
2907707;Chorrochó;Itaparica;11637;10991;647;0,055598522
2907806;Cícero Dantas;Semiárido Nordeste II;36753;35151;1602;0,043588279
